Type,ClusterID,CentroidX,CentroidY,NumMembers,TimeOfDay,DecisiveOrStyle,Weather,RoadCondition,CommInterval,Channel,ChannelQuality
AV,1,1403.5,784.3,13,11.88,Rash,night,clear,Low,3204,Medium
AV,2,343.3,843.1,16,12.65,Skilled,motorway,sunny,Low,2536,Good
AV,3,829.4,837.7,6,9.79,Skilled,fog,not visible,High,2519,Good
AV,4,71.4,764.3,9,10.92,Skilled,night,clear,High,2078,Medium
AV,5,1329.7,904.7,2,13.15,Skilled,motorway,sunny,Low,3205,Medium
AV,6,339.1,498.9,15,11.58,Rash,night,clear,Low,2482,Medium
AV,7,1726.6,777.0,15,11.22,Rash,night,clear,Low,2763,Medium
AV,8,1172.033333,783.8,18,9.45,Skilled,rain,slippery,High,3206,Medium
AV,9,140.2,689.9,1,11.36,Rash,snow,slippery,Low,2166,Medium
AV,10,718.5,834.9,6,8.74,Rash,rain,slippery,High,2537,Good
AV,11,1357.0,789.8,12,10.05,Skilled,fog,not visible,High,3207,Medium
AV,12,1638.2,1038.45,7,10.86,Rash,snow,slippery,High,2810,Medium
AV,13,543.4,754.3,2,11.99,Skilled,motorway,sunny,Low,2538,Good
AV,14,1573.05,820.3,16,10.98,Rash,snow,slippery,High,3208,Medium
AV,15,1051.133333,749.8,24,12.57,Skilled,motorway,sunny,Low,2579,Medium
AV,16,1264.6,825.8,3,9.3,Skilled,rain,slippery,High,3209,Medium
AV,17,647.95,771.4,13,10.93,Skilled,snow,slippery,High,2539,Good
AV,18,1076.7,870.0,6,11.13,Skilled,night,clear,Low,2595,Medium
AV,19,41.5,894.1,5,9.56,Rash,rain,slippery,High,1751,Medium
AV,20,1469.6,520.6,6,10.49,Skilled,fog,not visible,High,3210,Medium
AV,21,768.05,776.825,28,10.36,Skilled,rain,slippery,High,2544,Medium
AV,22,1462.3,757.1,6,12.39,Skilled,motorway,sunny,Low,3211,Good
AV,23,944.5,832.2,6,12.11,Skilled,motorway,sunny,Low,2521,Good
AV,24,1102.075,787.5,11,11.21,Skilled,snow,slippery,Low,3032,Medium
AV,25,1262.55,794.5,13,10.96,Skilled,rain,slippery,High,3212,Medium
AV,26,1631.7,757.4,12,12.27,Skilled,motorway,sunny,Low,3213,Medium
AV,27,877.2333333,1009.4,8,10.92,Skilled,snow,slippery,High,20,Medium
AV,28,916.5,825.1,5,12.34,Skilled,night,clear,Low,2524,Good
AV,29,1019.6,833.9,8,9.51,Skilled,fog,not visible,High,2573,Good
AV,30,501.6,845.8,4,10.03,Skilled,fog,not visible,High,2540,Medium
AV,31,150.7,759.2,10,10.85,Skilled,fog,not visible,High,2281,Good
AV,32,139.6,815.9,6,9.18,Rash,rain,slippery,High,2209,Medium
AV,33,855.2,730.8,6,9.41,Rash,rain,slippery,High,1718,Medium
AV,34,941.3666667,767.9333333,18,10.83,Skilled,night,clear,High,2536,Good
AV,35,714.175,763.4,26,10.89,Skilled,fog,not visible,High,2541,Medium
AV,36,971.225,755.15,24,10.85,Skilled,snow,slippery,High,2558,Medium
AV,37,585.0,767.2,14,10.52,Rash,snow,slippery,High,2542,Medium
AV,38,1555.25,772.2,12,12.1,Rash,night,clear,Low,3214,Good
AV,39,1739.4,706.0,4,11.72,Rash,fog,not visible,Low,2765,Medium
AV,40,34.15,721.25,12,10.9,Skilled,snow,slippery,High,1783,Medium
AV,41,1423.5,871.8,23,8.74,Rash,rain,slippery,High,3215,Medium
AV,42,333.6,710.2,6,11.41,Skilled,motorway,sunny,Low,2543,Medium
AV,43,1068.0,759.85,8,11.22,Rash,motorway,sunny,Low,2642,Medium
AV,44,323.1,795.4,6,10.28,Skilled,fog,not visible,High,2545,Good
AV,45,832.3,1012.4,5,11.4,Skilled,snow,slippery,Low,160,Medium
AV,46,845.3333333,772.3666667,18,11.6,Skilled,night,clear,Low,2545,Good
AV,47,169.6,827.3,6,10.4,Skilled,rain,slippery,High,2451,Medium
AV,48,1097.7,819.0,6,10.67,Skilled,fog,not visible,High,2782,Medium
AV,49,1670.2,723.5,4,10.75,Skilled,snow,slippery,High,3047,Medium
AV,50,1863.2,867.8,5,11.39,Rash,night,clear,Low,2310,Medium
AV,51,1339.5,840.5,5,10.31,Skilled,fog,not visible,High,3216,Medium
AV,52,230.7,702.7,3,11.0,Skilled,night,clear,High,2531,Medium
AV,53,1203.9,801.8,7,10.35,Skilled,fog,not visible,High,3217,Medium
AV,54,54.45,721.0,7,9.48,Rash,rain,slippery,High,2095,Medium
AV,55,433.4,785.0,8,8.95,Rash,rain,slippery,High,2546,Good
AV,56,376.1,713.4,6,9.65,Rash,rain,slippery,High,2547,Good
AV,57,1054.45,799.45,6,11.02,Skilled,night,clear,Low,2653,Medium
AV,58,954.55,882.5,19,12.68,Skilled,motorway,sunny,Low,2246,Good
AV,59,658.45,807.6,9,9.29,Skilled,rain,slippery,High,2548,Medium
AV,60,696.2,1009.4,3,9.01,Rash,rain,slippery,High,22,Medium
AV,61,235.4,758.3,10,10.05,Skilled,rain,slippery,High,2535,Medium
AV,62,1562.9,1034.8,18,11.38,Rash,motorway,sunny,Low,3210,Medium
AV,63,1867.8,737.65,5,10.72,Rash,fog,not visible,High,2311,Medium
AV,64,445.6,756.8,7,10.67,Skilled,rain,slippery,High,2549,Good
AV,65,999.0,791.6,12,11.93,Skilled,fog,not visible,Low,2592,Good
AV,66,1084.3,779.7666667,15,10.46,Skilled,fog,not visible,High,2796,Medium
AV,67,294.0,759.0,12,11.19,Rash,night,clear,Low,2550,Medium
AV,68,747.6,744.5,12,11.52,Skilled,motorway,sunny,Low,2551,Medium
AV,69,798.7666667,773.7333333,31,11.57,Skilled,motorway,sunny,Low,2550,Medium
AV,70,498.1,1009.9,2,10.44,Skilled,fog,not visible,High,2552,Medium
AV,71,112.8,737.7,10,11.14,Rash,snow,slippery,Low,2104,Medium
AV,72,552.3,739.2,6,9.95,Skilled,fog,not visible,High,2553,Medium
AV,73,795.55,755.45,14,10.38,Skilled,fog,not visible,High,2562,Medium
AV,74,954.3,790.15,8,10.7,Skilled,snow,slippery,High,2577,Good
AV,75,720.6,800.3,12,12.15,Skilled,night,clear,Low,2555,Medium
AV,76,534.1,1012.2,7,11.01,Skilled,motorway,sunny,Low,2554,Medium
AV,77,756.0,787.6666667,10,10.73,Skilled,fog,not visible,High,2556,Medium
AV,78,278.45,775.3,22,9.95,Skilled,fog,not visible,High,2557,Good
AV,79,990.225,830.175,16,10.39,Skilled,fog,not visible,High,2591,Good
AV,80,370.0,1015.2,2,10.89,Rash,snow,slippery,High,2558,Medium
AV,81,594.1,624.8,3,11.82,Rash,fog,not visible,Low,637,Medium
