Type,ClusterID,CentroidX,CentroidY,NumMembers,TimeOfDay,DecisiveOrStyle,Weather,RoadCondition,CommInterval,Channel,ChannelQuality
VRU,1,616.25,784.45,20,11.91,Decisive,night,clear,Low,1,Poor
VRU,2,1439.2,762.9,8,10.66,Non-decisive,night,clear,High,1,Poor
VRU,3,227.5,759.2666667,5,12.07,Decisive,motorway,sunny,Low,2,Medium
VRU,4,1240.9,769.575,16,10.39,Decisive,night,clear,High,2,Medium
VRU,5,1746.5,734.9,2,11.65,Decisive,night,clear,Low,2,Medium
VRU,6,461.6666667,765.4333333,9,12.03,Decisive,motorway,sunny,Low,3,Medium
VRU,7,20.14,713.66,9,11.99,Non-decisive,motorway,sunny,Low,1,Poor
VRU,8,1197.633333,780.6666667,27,10.72,Decisive,snow,slippery,High,3,Medium
VRU,9,937.55,770.9,9,11.49,Non-decisive,motorway,sunny,Low,4,Medium
VRU,10,795.8,814.1,3,10.03,Non-decisive,fog,not visible,High,5,Good
VRU,11,1900.7,705.5333333,10,11.13,Decisive,rain,slippery,Low,3,Medium
VRU,12,1127.28,750.68,17,10.77,Non-decisive,snow,slippery,High,6,Medium
VRU,13,369.075,766.85,18,12.36,Decisive,motorway,sunny,Low,4,Medium
VRU,14,1492.7,764.5,6,10.44,Decisive,night,clear,High,4,Medium
VRU,15,1121.3,832.5,9,10.76,Non-decisive,snow,slippery,High,7,Medium
VRU,16,1655.8,733.5666667,12,11.7,Decisive,snow,slippery,Low,5,Good
VRU,17,1462.95,759.2,15,11.18,Decisive,night,clear,Low,8,Good
VRU,18,1443.5,804.65,3,12.81,Decisive,motorway,sunny,Low,9,Good
VRU,19,751.5,768.8,8,10.51,Decisive,snow,slippery,High,8,Good
VRU,20,1698.66,748.4,15,11.27,Decisive,snow,slippery,Low,6,Medium
VRU,21,547.3,738.4,5,12.08,Decisive,motorway,sunny,Low,6,Medium
VRU,22,1786.26,734.82,15,11.11,Non-decisive,night,clear,Low,7,Medium
VRU,23,1309.9,792.5,8,10.18,Decisive,fog,not visible,High,10,Medium
VRU,24,169.1,762.1,6,11.93,Decisive,night,clear,Low,5,Good
VRU,25,59.75,734.9,8,10.71,Decisive,rain,slippery,High,7,Medium
VRU,26,1216.05,814.55,5,11.65,Decisive,night,clear,Low,11,Medium
VRU,27,1568.2,779.7,14,10.01,Decisive,rain,slippery,High,12,Medium
VRU,28,1775.2,771.3666667,8,10.04,Decisive,night,clear,High,11,Medium
VRU,29,1892.7,752.5,7,12.3,Decisive,night,clear,Low,10,Medium
VRU,30,561.3,268.3,3,10.42,Decisive,fog,not visible,High,1,Poor
VRU,31,244,704.7,6,12.03,Non-decisive,motorway,sunny,Low,8,Good
VRU,32,288.5,718.2,1,11.78,Decisive,night,clear,Low,9,Good
VRU,33,648.8,765.15,18,12.13,Decisive,motorway,sunny,Low,10,Medium
VRU,34,22.16666667,754.1,15,11.52,Decisive,night,clear,Low,6,Medium
VRU,35,1017.3,783.1,8,12.17,Decisive,motorway,sunny,Low,12,Medium
VRU,36,74.9,818.1,13,11.2,Non-decisive,snow,slippery,Low,10,Medium
VRU,37,1360.3,773.25,16,11.13,Decisive,snow,slippery,Low,13,Medium
VRU,38,979.4,862.6,7,12.23,Decisive,motorway,sunny,Low,14,Good
VRU,39,576.15,767.6,12,11.03,Decisive,snow,slippery,Low,7,Medium
VRU,40,451.6,818.5666667,4,9.12,Decisive,rain,slippery,High,11,Medium
VRU,41,510.7,828.25,9,9.24,Non-decisive,rain,slippery,High,12,Medium
VRU,42,1642.25,778.2,10,9.98,Decisive,fog,not visible,High,14,Good
VRU,43,1276.657143,769.4571429,20,10,Decisive,rain,slippery,High,15,Medium
VRU,44,1077.3,740.5,2,11.95,Non-decisive,motorway,sunny,Low,16,Medium
VRU,45,731.56,767.52,15,13.93,Decisive,junction,overcast,Low,2,Medium
VRU,46,1831.166667,753.4,6,10.98,Decisive,snow,slippery,High,15,Medium
VRU,47,1267.45,797.75,15,10.25,Decisive,rain,slippery,High,17,Medium
VRU,48,1618.85,808.4,6,10.51,Decisive,snow,slippery,High,16,Medium
VRU,49,1446.3,830.05,8,10.41,Decisive,fog,not visible,High,18,Good
VRU,50,1529.2,788.45,9,11.04,Non-decisive,snow,slippery,Low,19,Good
VRU,51,1355.8,803.8666667,10,12.25,Decisive,night,clear,Low,20,Medium
VRU,52,1549.9,709.9,10,13.07,Decisive,motorway,sunny,Low,21,Good
VRU,53,1749.45,803.7,10,10.98,Decisive,fog,not visible,High,22,Medium
VRU,54,212.95,803.3,5,9.63,Non-decisive,rain,slippery,High,13,Medium
VRU,55,376.8,798.5,6,10.56,Decisive,fog,not visible,High,14,Good
VRU,56,498.7,748.3,9,11.98,Decisive,night,clear,Low,15,Medium
VRU,57,1753.7,516.6,3,11.13,Decisive,motorway,sunny,Low,17,Medium
VRU,58,160.5,721.425,17,11.59,Decisive,motorway,sunny,Low,16,Medium
VRU,59,608.4333333,765.6333333,12,12.22,Decisive,motorway,sunny,Low,17,Medium
VRU,60,35.83333333,501.6666667,17,10.69,Non-decisive,snow,slippery,High,3,Medium
VRU,61,1309.233333,838.1333333,13,10.48,Decisive,motorway,sunny,High,23,Medium
VRU,62,1321.533333,754.0333333,19,12.01,Decisive,night,clear,Low,24,Medium
VRU,63,333.4,244.2,3,10.82,Non-decisive,snow,slippery,High,2,Medium
VRU,64,1835.1,716.7,6,11.98,Decisive,motorway,sunny,Low,23,Medium
VRU,65,1779.7,679.9,38,10.53,Decisive,snow,slippery,High,25,Good
VRU,66,1486.866667,780.9333333,16,10.61,Decisive,fog,not visible,High,26,Good
VRU,67,1799,690.2,8,11.24,Non-decisive,night,clear,Low,27,Medium
VRU,68,1143.725,775.75,16,10.82,Decisive,night,clear,High,22,Medium
VRU,69,285.4,780.4,5,10.06,Non-decisive,fog,not visible,High,18,Good
VRU,70,1675.9,643.7,7,9.37,Decisive,rain,slippery,High,28,Good
VRU,71,1867.95,713.6,9,10.91,Decisive,snow,slippery,High,13,Medium
VRU,72,395.4,716,5,12.07,Non-decisive,motorway,sunny,Low,19,Good
VRU,73,1866.75,797.65,6,11.92,Decisive,night,clear,Low,20,Medium
VRU,74,398.625,743.825,14,11.53,Decisive,night,clear,Low,20,Medium
